"Sex";"MaritalStatus";"Age";"Education";"Occupation";"YearsInSf";"DualIncome";"HouseholdMembers";"Under18";"HouseholdStatus";"TypeOfHome";"EthnicClass";"Language";"AnualIncome"
"4969";"2";"5";2;"3";"6";"5";1;"4";0;"Live with Parents/Family";"1";"8";"3";9136
"4970";"2";"1";4;"3";"4";"5";2;"3";1;"Rent";"3";"7";"1";19997
"4971";"2";"3";4;"3";"1";"4";1;"3";1;"Rent";"1";"5";"1";27591
"4972";"2";"2";2;"4";"4";"4";2;"3";0;"Own";"2";"8";"3";46894
"4973";"2";"1";1;"2";"4";"5";2;"3";1;"Rent";"1";"5";"1";11703
"4974";"2";"2";2;"4";"1";"5";1;"2";0;"Rent";"3";"7";"1";19997
"4975";"Male";"5";2;"3";"4";"5";1;"5";0;"Live with Parents/Family";"1";"2";"1";11703
"4976";"Male";"5";2;"2";"4";"5";1;"3";2;"Live with Parents/Family";"1";"5";"1";76004
"4977";"Male";"5";2;"2";"6";"5";1;"5";1;"Own";"1";"2";"1";76004
"4978";"Male";"5";3;"3";"1";"5";1;"1";0;"Own";"1";"7";"1";46894
"4979";"2";"1";2;"5";"2";"5";2;"2";0;"Rent";"3";"8";"1";27591
"4980";"Male";"5";2;"3";"3";"5";1;"4";1;"Live with Parents/Family";"1";"5";"1";21672
"4981";"Male";"?";3;"4";"1";"1";1;"2";0;"?";"1";"7";"1";46894
"4982";"Male";"1";2;"3";"3";"3";3;"3";1;"Rent";"3";"7";"1";11703
"4983";"2";"5";2;"2";"6";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";66994
"4984";"2";"5";2;"4";"2";"3";1;"1";0;"Rent";"3";"7";"1";21672
"4985";"Male";"5";2;"5";"1";"2";1;"1";0;"Own";"?";"7";"1";46894
"4986";"Male";"5";2;"4";"3";"5";1;"2";0;"Rent";"3";"7";"1";21672
"4987";"2";"5";2;"3";"1";"?";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"4988";"Male";"5";3;"4";"1";"4";1;"1";0;"Rent";"1";"7";"1";76004
"4989";"Male";"5";2;"2";"6";"5";1;"5";2;"Live with Parents/Family";"1";"5";"2";46894
"4990";"Male";"1";5;"4";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"4991";"2";"4";6;"6";"1";"5";1;"4";0;"Own";"1";"2";"1";76004
"4992";"2";"1";5;"3";"5";"?";3;"5";2;"Own";"1";"5";"2";46894
"4993";"Male";"5";2;"5";"7";"3";1;"3";0;"?";"1";"2";"2";76004
"4994";"Male";"5";2;"3";"6";"2";1;"4";1;"Own";"1";"5";"2";32171
"4995";"Male";"5";2;"3";"6";"3";1;"4";1;"Own";"1";"5";"2";19997
"4996";"2";"2";2;"4";"6";"2";3;"2";0;"Rent";"3";"7";"1";32171
"4997";"2";"1";3;"6";"1";"5";2;"3";0;"Own";"2";"2";"1";66994
"4998";"Male";"1";4;"5";"7";"5";3;"2";0;"Own";"2";"2";"1";76004
"4999";"Male";"5";2;"5";"1";"5";1;"9";9;"Own";"1";"7";"1";66994
"5000";"Male";"5";2;"6";"1";"3";1;"1";0;"Own";"1";"?";"1";76004
"5001";"Male";"5";2;"4";"6";"?";1;"2";0;"Own";"2";"5";"2";27591
"5002";"Male";"1";3;"3";"3";"5";2;"2";2;"Rent";"3";"5";"1";21672
"5003";"Male";"5";2;"4";"6";"3";1;"?";0;"Rent";"3";"5";"1";19997
"5004";"Male";"2";2;"4";"1";"4";1;"2";0;"Rent";"3";"1";"1";11703
"5005";"Male";"5";2;"4";"1";"5";1;"4";0;"Rent";"1";"7";"1";21672
"5006";"Male";"5";3;"6";"1";"5";1;"1";0;"Own";"2";"7";"1";46894
"5007";"Male";"1";3;"4";"4";"2";2;"2";0;"Rent";"3";"2";"1";21672
"5008";"2";"5";7;"1";"8";"5";1;"1";0;"Own";"1";"5";"2";11703
"5009";"2";"1";5;"4";"1";"5";2;"2";0;"Rent";"2";"5";"1";32171
"5010";"Male";"5";2;"4";"3";"2";1;"1";0;"Rent";"1";"7";"1";19997
"5011";"2";"1";3;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";46894
"5012";"Male";"1";3;"5";"1";"3";2;"2";0;"Own";"1";"7";"1";46894
"5013";"2";"1";6;"3";"5";"5";3;"2";0;"Rent";"2";"7";"1";32171
"5014";"Male";"5";2;"4";"6";"5";1;"5";0;"Live with Parents/Family";"1";"7";"1";76004
"5015";"Male";"5";2;"3";"6";"?";1;"5";3;"Live with Parents/Family";"?";"5";"1";9136
"5016";"Male";"1";3;"2";"4";"5";2;"3";1;"Own";"4";"7";"1";46894
"5017";"Male";"5";2;"3";"3";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";32171
"5018";"Male";"5";2;"3";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";66994
"5019";"Male";"5";2;"2";"6";"5";1;"5";1;"Live with Parents/Family";"1";"8";"3";76004
"5020";"2";"1";5;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"5021";"Male";"5";2;"3";"3";"5";1;"5";1;"Live with Parents/Family";"?";"?";"2";19997
"5022";"2";"5";1;"3";"6";"5";1;"4";1;"Live with Parents/Family";"1";"2";"3";9136
"5023";"Male";"2";2;"2";"9";"5";1;"5";0;"Live with Parents/Family";"1";"5";"1";9136
"5024";"Male";"5";2;"2";"6";"5";1;"5";0;"Live with Parents/Family";"1";"7";"1";76004
"5025";"2";"5";2;"2";"6";"5";1;"5";1;"Live with Parents/Family";"1";"7";"1";46894
"5026";"2";"3";4;"4";"1";"5";1;"3";2;"Rent";"1";"7";"1";32171
"5027";"Male";"1";4;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"5028";"Male";"1";4;"4";"1";"3";2;"4";2;"Rent";"1";"7";"1";32171
"5029";"2";"5";2;"2";"6";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";76004
"5030";"2";"5";2;"4";"6";"?";1;"4";0;"Rent";"3";"7";"1";9136
"5031";"Male";"1";7;"6";"8";"4";3;"2";0;"Own";"1";"7";"1";27591
"5032";"2";"5";2;"3";"6";"5";1;"1";0;"Rent";"3";"7";"1";9136
"5033";"2";"5";3;"4";"1";"?";1;"2";1;"Own";"1";"3";"1";21672
"5034";"Male";"5";3;"6";"1";"?";1;"2";0;"Rent";"2";"7";"?";27591
"5035";"Male";"?";2;"4";"4";"5";3;"1";0;"Own";"1";"1";"1";27591
"5036";"Male";"1";4;"5";"1";"?";2;"2";0;"Own";"1";"7";"1";76004
"5037";"2";"5";1;"1";"?";"5";1;"7";4;"Live with Parents/Family";"1";"1";"2";9136
"5038";"2";"5";1;"2";"1";"4";1;"5";3;"Live with Parents/Family";"1";"7";"1";9136
"5039";"2";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"5040";"Male";"5";1;"2";"6";"5";1;"5";3;"Live with Parents/Family";"1";"7";"1";9136
"5041";"Male";"5";1;"2";"6";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";9136
"5042";"2";"5";1;"2";"6";"5";1;"5";2;"Live with Parents/Family";"1";"8";"3";9136
"5043";"2";"5";1;"2";"6";"5";1;"5";1;"Live with Parents/Family";"1";"8";"1";9136
"5044";"2";"5";1;"1";"6";"5";1;"6";2;"Live with Parents/Family";"1";"7";"1";9136
"5045";"2";"5";1;"1";"6";"5";1;"2";1;"Live with Parents/Family";"3";"7";"1";9136
"5046";"2";"5";1;"2";"6";"2";1;"4";1;"Live with Parents/Family";"2";"7";"1";9136
"5047";"Male";"5";1;"2";"6";"5";1;"5";1;"Live with Parents/Family";"1";"7";"1";9136
"5048";"2";"5";1;"2";"4";"5";1;"4";2;"Rent";"1";"7";"1";9136
"5049";"2";"5";1;"2";"4";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"5050";"Male";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"5051";"2";"5";1;"1";"6";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";9136
"5052";"Male";"5";1;"2";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"5053";"2";"3";3;"4";"4";"4";1;"1";0;"Rent";"3";"7";"1";21672
"5054";"2";"1";5;"5";"5";"5";3;"4";0;"Own";"1";"7";"?";66994
"5055";"Male";"5";2;"4";"2";"4";1;"1";0;"Rent";"3";"7";"1";21672
"5056";"2";"5";3;"6";"1";"2";1;"1";0;"Rent";"3";"7";"1";32171
"5057";"2";"2";3;"4";"1";"5";1;"2";0;"Rent";"3";"7";"1";21672
"5058";"2";"5";3;"5";"1";"5";1;"2";0;"Own";"1";"7";"1";21672
"5059";"2";"5";3;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";32171
"5060";"Male";"5";2;"4";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";19997
"5061";"Male";"2";3;"5";"1";"2";1;"2";0;"Rent";"3";"7";"1";32171
"5062";"2";"1";4;"4";"4";"5";2;"4";2;"Own";"1";"7";"1";66994
"5063";"Male";"5";3;"4";"4";"5";1;"3";0;"Own";"1";"7";"1";32171
"5064";"2";"2";3;"5";"1";"5";1;"2";0;"Rent";"3";"7";"1";66994
"5065";"2";"5";2;"4";"6";"4";1;"1";0;"Rent";"3";"7";"1";9136
"5066";"2";"5";3;"4";"6";"4";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"5067";"Male";"5";3;"4";"7";"4";1;"1";0;"Own";"1";"7";"1";46894
"5068";"Male";"5";2;"4";"6";"5";1;"3";0;"Rent";"3";"7";"1";66994
"5069";"Male";"5";2;"6";"1";"5";1;"1";0;"Rent";"3";"7";"1";27591
"5070";"2";"2";4;"5";"2";"5";2;"2";0;"Rent";"5";"7";"1";76004
"5071";"2";"5";3;"5";"1";"5";1;"1";0;"Live with Parents/Family";"1";"7";"1";27591
"5072";"Male";"3";3;"3";"4";"4";1;"1";0;"Own";"5";"7";"1";32171
"5073";"2";"1";2;"5";"1";"2";2;"2";0;"Rent";"3";"7";"1";66994
"5074";"2";"2";2;"4";"2";"5";1;"?";0;"?";"?";"?";"?";11703
"5075";"Male";"1";6;"6";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"5076";"2";"5";2;"4";"9";"5";1;"5";0;"Live with Parents/Family";"1";"7";"1";46894
"5077";"2";"3";7;"4";"6";"5";1;"1";0;"Rent";"3";"7";"1";11703
"5078";"2";"3";5;"6";"1";"5";1;"1";0;"Own";"1";"7";"1";21672
"5079";"Male";"5";3;"5";"1";"5";1;"1";0;"Rent";"3";"7";"1";27591
"5080";"2";"1";2;"5";"1";"1";2;"2";0;"Rent";"3";"7";"1";32171
"5081";"Male";"1";3;"5";"1";"5";2;"2";0;"Rent";"3";"7";"1";32171
"5082";"Male";"5";2;"4";"2";"5";1;"1";0;"Rent";"3";"7";"1";11703
"5083";"Male";"3";3;"3";"2";"5";1;"2";0;"Own";"1";"7";"1";32171
"5084";"Male";"2";3;"6";"6";"1";1;"2";0;"Rent";"3";"7";"1";46894
"5085";"Male";"5";2;"4";"6";"2";1;"3";1;"Rent";"3";"5";"2";21672
"5086";"Male";"5";2;"4";"4";"5";1;"4";0;"Live with Parents/Family";"1";"2";"3";32171
"5087";"2";"1";5;"3";"5";"5";3;"4";1;"Own";"1";"7";"1";66994
"5088";"Male";"1";7;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";19997
"5089";"2";"5";3;"5";"1";"3";1;"2";0;"Rent";"1";"7";"1";32171
"5090";"2";"1";7;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";32171
"5091";"2";"3";4;"4";"5";"5";1;"2";1;"Rent";"1";"7";"1";21672
"5092";"Male";"5";4;"4";"3";"5";1;"2";0;"Own";"1";"8";"?";11703
"5093";"Male";"1";3;"6";"2";"5";2;"3";1;"Own";"1";"7";"1";66994
"5094";"Male";"1";7;"4";"8";"5";3;"2";0;"Own";"1";"7";"?";46894
"5095";"2";"1";7;"3";"8";"5";3;"2";0;"Rent";"3";"7";"1";32171
"5096";"Male";"1";5;"4";"1";"4";3;"2";0;"Own";"1";"7";"1";76004
"5097";"2";"2";7;"3";"8";"5";1;"?";0;"Own";"2";"7";"1";46894
"5098";"Male";"1";3;"3";"2";"1";2;"2";0;"Rent";"3";"7";"1";21672
"5099";"Male";"5";3;"5";"1";"5";1;"2";0;"Rent";"3";"7";"1";66994
"5100";"2";"1";6;"5";"5";"1";3;"2";0;"Own";"1";"7";"1";76004
"5101";"2";"4";7;"4";"8";"5";1;"1";0;"Own";"1";"7";"1";21672
"5102";"2";"1";6;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"5103";"2";"5";2;"2";"6";"5";1;"5";2;"Live with Parents/Family";"1";"5";"1";9136
"5104";"Male";"4";7;"4";"8";"5";1;"1";0;"Rent";"3";"7";"1";9136
"5105";"2";"1";3;"6";"1";"5";2;"4";2;"Own";"2";"7";"1";46894
"5106";"Male";"5";2;"2";"3";"?";1;"4";0;"Own";"1";"7";"1";76004
"5107";"2";"5";2;"3";"2";"5";1;"3";0;"Own";"1";"7";"1";9136
"5108";"Male";"1";3;"4";"1";"3";3;"5";3;"Rent";"1";"?";"1";46894
"5109";"Male";"5";2;"4";"3";"5";1;"2";0;"Rent";"1";"7";"1";21672
"5110";"2";"1";7;"4";"8";"5";3;"3";0;"Own";"1";"7";"1";11703
"5111";"Male";"1";5;"6";"1";"5";2;"5";1;"Own";"1";"7";"1";76004
"5112";"Male";"5";2;"3";"3";"5";1;"?";0;"Live with Parents/Family";"1";"8";"3";11703
"5113";"2";"1";4;"4";"5";"5";3;"4";2;"Own";"1";"7";"1";32171
"5114";"Male";"2";2;"4";"3";"5";1;"2";0;"Rent";"5";"7";"1";27591
"5115";"Male";"5";2;"3";"6";"5";1;"5";0;"?";"1";"5";"1";66994
"5116";"2";"1";3;"5";"2";"3";3;"2";0;"Rent";"5";"7";"1";11703
"5117";"Male";"5";2;"2";"6";"5";1;"6";1;"Live with Parents/Family";"1";"6";"1";27591
"5118";"Male";"1";3;"5";"1";"3";2;"2";0;"Rent";"3";"5";"2";19997
"5119";"Male";"5";2;"4";"6";"5";1;"1";0;"Own";"3";"7";"1";9136
"5120";"2";"1";5;"4";"4";"2";2;"2";0;"Own";"1";"7";"1";66994
"5121";"Male";"1";5;"6";"1";"3";2;"3";0;"Own";"1";"7";"1";76004
"5122";"2";"1";4;"6";"1";"4";2;"2";0;"Own";"1";"7";"1";46894
"5123";"2";"1";5;"3";"1";"5";2;"3";0;"Own";"1";"7";"1";66994
"5124";"2";"1";6;"4";"4";"5";2;"2";0;"Own";"1";"7";"1";66994
"5125";"2";"3";5;"4";"4";"5";1;"2";0;"Own";"5";"7";"1";27591
"5126";"2";"1";6;"3";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"5127";"Male";"1";5;"4";"3";"5";2;"3";0;"Own";"1";"8";"1";66994
"5128";"2";"1";4;"3";"4";"5";2;"3";0;"Own";"1";"7";"1";66994
"5129";"2";"1";5;"4";"2";"5";3;"2";0;"Own";"1";"7";"1";46894
"5130";"2";"1";5;"4";"1";"5";2;"3";0;"Own";"1";"2";"1";11703
"5131";"2";"5";2;"5";"2";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";9136
"5132";"2";"1";3;"4";"1";"5";2;"3";1;"Rent";"1";"7";"1";32171
"5133";"Male";"5";3;"2";"2";"5";1;"2";0;"Rent";"3";"7";"1";27591
"5134";"Male";"5";3;"5";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"5135";"Male";"3";6;"4";"9";"5";1;"2";0;"Own";"1";"7";"?";76004
"5136";"2";"1";7;"5";"8";"5";3;"2";0;"Own";"2";"7";"1";66994
"5137";"2";"5";3;"4";"4";"5";1;"2";0;"Live with Parents/Family";"3";"7";"1";9136
"5138";"2";"1";3;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"5139";"2";"5";2;"3";"6";"2";1;"3";0;"Live with Parents/Family";"3";"7";"1";27591
"5140";"Male";"3";5;"4";"3";"5";1;"1";0;"Own";"1";"7";"1";32171
"5141";"2";"1";5;"4";"1";"5";2;"4";0;"Own";"1";"7";"1";46894
"5142";"Male";"5";4;"4";"1";"5";1;"1";0;"Rent";"3";"7";"1";32171
"5143";"Male";"3";7;"6";"2";"5";1;"2";0;"Rent";"3";"7";"1";32171
"5144";"2";"1";3;"3";"2";"5";2;"2";1;"Rent";"3";"3";"1";9136
"5145";"Male";"5";5;"6";"9";"4";1;"1";0;"?";"3";"7";"1";32171
"5146";"Male";"5";2;"4";"6";"5";1;"5";0;"Live with Parents/Family";"1";"2";"1";32171
"5147";"2";"1";4;"3";"4";"5";2;"4";0;"Own";"1";"6";"1";46894
"5148";"2";"1";4;"4";"5";"5";3;"4";2;"Own";"1";"1";"1";66994
"5149";"2";"5";3;"5";"1";"5";1;"3";0;"Rent";"1";"7";"1";21672
"5150";"Male";"1";7;"1";"3";"5";3;"2";0;"Own";"1";"7";"1";46894
"5151";"2";"5";2;"3";"4";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";11703
"5152";"2";"3";6;"3";"7";"4";1;"1";0;"Rent";"?";"7";"1";27591
"5153";"Male";"5";3;"4";"4";"5";1;"6";0;"Live with Parents/Family";"1";"7";"1";27591
"5154";"Male";"1";6;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";46894
"5155";"2";"1";6;"5";"1";"5";2;"3";0;"Own";"1";"7";"3";21672
"5156";"Male";"1";7;"3";"1";"3";3;"2";0;"Own";"1";"8";"1";76004
"5157";"Male";"5";2;"4";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";46894
"5158";"Male";"5";2;"3";"6";"1";1;"1";0;"Rent";"3";"7";"1";9136
"5159";"Male";"1";7;"5";"8";"5";3;"2";0;"Own";"2";"7";"1";46894
"5160";"2";"1";2;"4";"4";"2";3;"2";0;"Rent";"3";"5";"2";19997
"5161";"Male";"1";7;"6";"1";"5";3;"2";0;"Own";"1";"7";"1";66994
"5162";"2";"5";2;"4";"6";"2";1;"5";2;"Live with Parents/Family";"1";"7";"1";9136
"5163";"2";"1";5;"5";"1";"5";2;"4";2;"Rent";"2";"7";"1";66994
"5164";"Male";"5";3;"3";"3";"1";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"5165";"2";"5";3;"4";"4";"5";1;"2";0;"Rent";"1";"7";"1";27591
"5166";"2";"1";3;"4";"1";"5";3;"3";1;"Own";"1";"7";"1";66994
"5167";"2";"1";4;"6";"5";"2";3;"3";1;"Own";"1";"2";"1";76004
"5168";"2";"1";3;"4";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"5169";"Male";"1";5;"4";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"5170";"2";"5";3;"5";"2";"1";1;"1";0;"Rent";"5";"2";"1";11703
"5171";"2";"1";3;"4";"1";"5";3;"4";2;"Rent";"1";"7";"1";32171
"5172";"2";"5";2;"4";"6";"5";1;"7";0;"Own";"1";"2";"1";46894
"5173";"Male";"1";4;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"5174";"2";"5";3;"3";"2";"5";1;"3";0;"Live with Parents/Family";"5";"5";"1";32171
"5175";"2";"4";5;"6";"1";"1";1;"1";0;"Rent";"3";"7";"1";32171
"5176";"2";"1";7;"5";"9";"5";3;"2";0;"Rent";"3";"7";"?";76004
"5177";"2";"1";4;"4";"1";"5";2;"3";1;"Own";"1";"7";"1";66994
"5178";"Male";"4";6;"4";"1";"5";1;"1";0;"Own";"1";"5";"?";32171
"5179";"2";"2";2;"4";"1";"4";2;"2";0;"Rent";"2";"7";"1";21672
"5180";"2";"4";7;"3";"8";"5";1;"1";0;"Rent";"3";"7";"1";19997
"5181";"2";"1";7;"4";"8";"?";3;"2";0;"Own";"1";"7";"1";66994
"5182";"2";"1";6;"4";"5";"5";3;"4";0;"Own";"1";"7";"1";76004
"5183";"Male";"1";7;"6";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"5184";"Male";"5";5;"3";"4";"4";1;"1";0;"Rent";"1";"7";"1";27591
"5185";"2";"5";2;"5";"1";"3";1;"2";0;"Rent";"1";"7";"1";32171
"5186";"2";"1";4;"6";"5";"4";3;"3";1;"Own";"1";"7";"1";76004
"5187";"2";"1";4;"4";"5";"5";3;"3";1;"Own";"1";"7";"1";66994
"5188";"2";"?";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";11703
"5189";"2";"3";3;"3";"1";"2";1;"1";0;"Rent";"1";"7";"1";32171
"5190";"Male";"3";5;"6";"1";"5";1;"1";0;"Own";"2";"7";"1";66994
"5191";"2";"1";5;"4";"1";"4";3;"3";1;"Own";"1";"7";"1";32171
"5192";"2";"1";6;"4";"1";"3";2;"3";0;"Own";"2";"7";"1";66994
"5193";"Male";"5";3;"4";"3";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";9136
"5194";"Male";"5";2;"3";"6";"5";1;"?";0;"Rent";"5";"7";"1";9136
"5195";"Male";"4";3;"5";"1";"5";1;"1";0;"Own";"1";"7";"1";32171
"5196";"2";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"5197";"2";"5";2;"4";"2";"4";1;"3";0;"Rent";"3";"5";"2";19997
"5198";"Male";"1";5;"4";"1";"5";2;"3";0;"Own";"1";"7";"1";66994
"5199";"Male";"1";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";32171
"5200";"Male";"5";2;"4";"6";"3";1;"4";0;"Live with Parents/Family";"1";"2";"3";9136
"5201";"2";"1";3;"6";"1";"4";2;"2";0;"Own";"1";"2";"1";76004
"5202";"Male";"5";3;"3";"1";"4";1;"2";0;"Rent";"1";"7";"1";66994
"5203";"Male";"1";3;"3";"3";"4";2;"2";0;"Rent";"1";"7";"1";32171
"5204";"2";"1";6;"4";"1";"3";3;"2";0;"Own";"4";"7";"1";21672
"5205";"Male";"1";3;"6";"1";"3";2;"2";0;"Own";"1";"7";"1";66994
"5206";"Male";"5";3;"3";"3";"2";1;"1";0;"Rent";"3";"7";"1";21672
"5207";"Male";"5";2;"3";"2";"5";1;"3";0;"Live with Parents/Family";"2";"7";"1";9136
"5208";"Male";"5";3;"4";"1";"5";1;"2";0;"Live with Parents/Family";"3";"7";"1";21672
"5209";"2";"5";3;"4";"5";"4";1;"1";0;"Rent";"1";"7";"1";11703
"5210";"Male";"5";4;"4";"3";"5";1;"1";0;"Rent";"3";"7";"1";21672
"5211";"Male";"1";5;"3";"8";"5";3;"3";1;"Rent";"3";"7";"1";9136
"5212";"Male";"2";3;"4";"2";"1";1;"2";0;"Rent";"3";"7";"1";46894
"5213";"2";"5";3;"4";"4";"5";1;"1";0;"Rent";"3";"7";"1";27591
"5214";"2";"5";2;"5";"1";"5";1;"1";0;"Rent";"3";"7";"1";19997
"5215";"Male";"?";3;"4";"4";"2";1;"1";0;"Rent";"3";"7";"1";19997
"5216";"2";"2";2;"3";"6";"3";1;"2";0;"Rent";"3";"7";"1";11703
"5217";"2";"3";4;"4";"4";"5";1;"2";1;"Rent";"3";"7";"1";27591
"5218";"2";"2";2;"5";"1";"2";1;"2";0;"Rent";"3";"8";"1";19997
"5219";"Male";"5";2;"3";"6";"5";1;"3";0;"Live with Parents/Family";"2";"7";"2";9136
"5220";"Male";"5";2;"3";"6";"5";1;"9";6;"Live with Parents/Family";"4";"7";"3";76004
"5221";"2";"3";3;"5";"1";"1";1;"1";0;"Rent";"1";"7";"1";19997
"5222";"2";"5";5;"6";"1";"4";1;"1";0;"Own";"1";"7";"1";46894
"5223";"Male";"2";3;"5";"1";"4";3;"2";0;"Rent";"3";"6";"1";66994
"5224";"Male";"1";7;"3";"4";"5";3;"2";0;"Own";"1";"7";"1";32171
"5225";"2";"3";3;"3";"4";"5";1;"2";1;"Rent";"3";"7";"1";11703
"5226";"2";"5";4;"5";"1";"5";1;"1";0;"Own";"2";"7";"1";27591
"5227";"2";"1";7;"4";"5";"5";3;"2";0;"Own";"1";"7";"1";21672
"5228";"2";"1";4;"5";"5";"5";2;"4";2;"Own";"1";"2";"1";66994
"5229";"2";"5";3;"5";"9";"5";1;"2";0;"Own";"2";"7";"1";19997
"5230";"2";"1";4;"5";"2";"5";2;"3";1;"Own";"1";"2";"1";46894
"5231";"Male";"1";5;"6";"9";"5";2;"2";0;"Own";"1";"7";"1";66994
"5232";"2";"1";4;"6";"5";"4";1;"1";0;"Rent";"1";"1";"2";76004
"5233";"2";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"5234";"2";"5";6;"3";"9";"5";1;"2";0;"Live with Parents/Family";"3";"7";"1";9136
"5235";"2";"1";4;"4";"1";"?";3;"3";1;"Own";"1";"7";"1";27591
"5236";"Male";"5";2;"3";"6";"1";1;"3";0;"Live with Parents/Family";"1";"7";"1";27591
"5237";"Male";"1";7;"3";"8";"5";3;"2";0;"Rent";"3";"7";"1";27591
"5238";"2";"5";2;"5";"9";"5";1;"2";0;"Live with Parents/Family";"1";"3";"1";19997
"5239";"2";"1";6;"4";"5";"5";3;"2";0;"Own";"1";"7";"1";27591
"5240";"2";"1";5;"4";"4";"5";1;"?";0;"Own";"1";"5";"1";19997
"5241";"2";"3";5;"4";"1";"5";1;"1";0;"Rent";"1";"7";"1";11703
"5242";"Male";"2";4;"6";"1";"4";1;"2";0;"Rent";"1";"7";"1";76004
"5243";"2";"1";6;"3";"3";"5";3;"2";0;"Own";"1";"7";"1";46894
"5244";"Male";"5";2;"3";"2";"5";1;"5";0;"Live with Parents/Family";"1";"3";"1";76004
"5245";"Male";"1";5;"6";"1";"4";2;"3";0;"Own";"1";"7";"1";76004
"5246";"2";"1";7;"5";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"5247";"2";"5";2;"4";"6";"5";1;"1";0;"Live with Parents/Family";"1";"2";"3";9136
"5248";"Male";"5";2;"3";"3";"4";1;"7";0;"Rent";"1";"7";"1";11703
"5249";"2";"5";2;"3";"3";"5";1;"4";0;"Own";"1";"1";"1";11703
"5250";"2";"1";4;"5";"1";"5";2;"4";1;"Own";"5";"7";"1";66994
"5251";"2";"2";2;"3";"2";"5";1;"5";1;"Live with Parents/Family";"1";"7";"1";19997
"5252";"Male";"1";4;"4";"1";"5";2;"2";0;"Own";"2";"7";"1";66994
"5253";"2";"4";6;"4";"4";"5";1;"3";0;"Own";"?";"2";"1";21672
"5254";"Male";"1";5;"3";"3";"?";2;"4";0;"Own";"2";"7";"1";66994
"5255";"Male";"1";5;"5";"1";"5";3;"2";0;"Own";"1";"7";"1";46894
"5256";"Male";"3";4;"4";"1";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";46894
"5257";"2";"1";7;"6";"8";"5";3;"2";0;"Own";"1";"7";"1";27591
"5258";"Male";"1";3;"3";"1";"5";2;"3";1;"Rent";"3";"7";"1";21672
"5259";"2";"3";4;"3";"3";"?";1;"1";0;"Live with Parents/Family";"?";"2";"1";9136
"5260";"Male";"1";7;"?";"1";"5";3;"2";0;"Own";"?";"7";"?";76004
"5261";"2";"5";3;"4";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";11703
"5262";"Male";"5";4;"4";"1";"5";1;"2";0;"Rent";"3";"7";"1";66994
"5263";"2";"1";6;"4";"5";"5";3;"4";0;"Own";"1";"7";"1";32171
"5264";"Male";"4";7;"5";"8";"4";1;"1";0;"Rent";"3";"7";"1";21672
"5265";"Male";"1";5;"6";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"5266";"2";"3";5;"2";"3";"5";1;"1";0;"Own";"4";"7";"1";21672
"5267";"2";"3";4;"6";"1";"2";1;"3";1;"Own";"1";"7";"1";76004
